x,y,state,turn,Blue Points,Red Points
8,8,state,turn,0,0
1,2,S,Blue,0,0
2,4,O,Red,0,0
4,2,S,Blue,0,0
7,5,O,Red,0,0
3,6,S,Blue,0,0
2,2,O,Red,0,0
4,1,S,Blue,0,0
3,2,O,Red,0,0
2,5,S,Blue,0,0
2,3,O,Red,0,0
3,4,S,Blue,0,0
1,4,S,Blue,2,0
3,5,O,Blue,3,0
4,5,S,Blue,4,0
1,3,O,Blue,5,0
5,3,O,Blue,5,0
2,0,O,Red,5,0
6,6,O,Blue,5,0
7,3,O,Red,5,0
6,5,S,Blue,5,0
5,1,O,Red,5,0
5,6,S,Blue,5,0
2,1,O,Red,5,0
0,4,S,Blue,5,0
0,6,O,Red,5,0
2,7,S,Blue,5,0
5,7,O,Red,5,0
6,4,S,Blue,6,0
2,6,S,Blue,6,0
4,4,S,Red,6,1
4,6,O,Red,6,2
7,4,S,Red,6,2
1,0,S,Blue,6,2
7,2,S,Red,6,3
7,6,S,Red,6,5
5,4,O,Red,6,6
6,3,S,Red,6,7
4,3,S,Red,6,9
6,2,S,Red,6,10
5,5,O,Red,6,11
